Timestamp,Day of Week,Source IP,Destination IP,Encrypted Application Data
2023-12-03 16:55:23,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69da0fba01adac0b5a54aacaf4bbca52161301fe
2023-12-03 16:56:04,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69dbad44ea06d0b1479612bca3f07b3bb14b8db4
2023-12-03 16:56:44,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69dcdbe325416f8b1ed7ad640dcbd9fc5e869eb9
2023-12-03 16:57:24,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69ddd0268d5e4c770cdcb36dc669aa7f81a5a740
2023-12-03 16:58:01,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69de35c1bb1ae931c9701bf7486f46bac50416b8357e0a511a54069ca527284c55ed7cab7101abb395f5ea513ea6f3e369c697be09b4dabbbbd5113a9820720808073bce67779dd0bd9d061b529bef6e0288e54f8913a19dffd784cad193fafff450f0d3b039f854e3657bf91c7c9c42cbb64b93fa6d1423dc9fa525299b41a42d5b85fa85056ee6e619a6beda9587cb90cb7b7ef0069f30b76c33c4f1afab63acfd6b220828c89de07bba00b2d4fba9551cdb9be48ee8b94aa48349b8d87a2494b821b168
2023-12-03 16:58:36,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69df52e8e57e18e46be444ee86b53150f4da0e76
2023-12-03 16:59:17,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69e0f488ad88a75032319b642baec3f98311aadf
2023-12-03 16:59:57,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69e122caf9ee8aba2bd28b82bccb4dc618a7fb84
2023-12-03 17:00:37,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69e29b4db1313492b695819e146e6af61a1e58ff
2023-12-03 17:01:18,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69e3666bed3f383ee99a0067b98de6db5717b960
2023-12-03 17:01:58,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69e41ba6a8e8b6313b39c4ccd3d769017cce3e20
2023-12-03 17:02:38,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69e566c855346db3d454e86f3d02e10e3b51828d
2023-12-03 17:03:18,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69e6dc8c85469ce6e7b455f0d75e6d5493d52f5d
2023-12-03 17:03:59,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69e7571244af8ec2a9425d41aee22c14c0ad77ea
2023-12-03 17:04:39,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69e832841e44f9f9b3bc81f1f9aa795130eec5ff
2023-12-03 17:05:19,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69e970f75db5f662c96c7950a1f44aa28fdf36a9
2023-12-03 19:06:01,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69ea0f731bb26ed4d92fbfde7a2e5753bdbd2242
2023-12-03 17:06:39,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69eb92e7e2406f07227ba5bedd29080efec538da
2023-12-03 17:07:20,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69ec6ec95772e7ec75a7bdf876bd546ce993c13a
2023-12-03 17:08:00,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69ed6bb50a07710ee210a4b81443b6987e45e73f
2023-12-03 17:08:40,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69ee2c9bc77ff17d7d421d115a4563cd49007527
2023-12-03 17:09:20,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69efaae9876ba64a16f0b1575d91cf3e6ec3cad4
2023-12-03 17:10:00,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69f07bda63b145ab6f10cbb7d2c1b66c9ba63b2c
2023-12-03 17:10:41,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69f1b3cce4dbb31a23017dece0c74c7c586de3f6
2023-12-03 17:11:21,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69f286639916270d0cf408195187890d66e459b9
2023-12-03 17:12:01,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69f3c2387edc91ca0c76b8ead47f4f764ce3c7dc
2023-12-03 17:12:41,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69f45fe66cd65a87d6308ebc86414c5347268aab
2023-12-03 17:13:22,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69f5879b672aabc4eac3344afa69eb6214fba995
2023-12-03 17:14:02,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69f613c6d3c031c50ba95a2d4f04ac3c84212dbe
2023-12-03 17:14:42,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69f7b1c1a6a6807984ec58f6ea4096c60415b516
2023-12-03 17:15:22,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69f84a316d7d3d5f856b86f57edba7272b71ee60
2023-12-03 17:16:02,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69f91b7714240e9cc4dc48cf6b8c9448d5caac7c
2023-12-03 17:16:43,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69fa46b71a95d556eba253d3ab7689676f1133f4
2023-12-03 17:17:23,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69fb0e4e5a21e9b79f7bc9289811cef4a0d8b222
2023-12-03 17:18:03,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69fc4d7721452b6807b4d3032b702ab1eb6cc96c
2023-12-03 17:18:43,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69fd586ae90ce2c986fe8e7b2406e3685a41381a
2023-12-03 17:19:24,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69fe36c686d78de1806f0985be353228bcb0e972
2023-12-03 17:20:04,Sunday,54.74.168.158,192.168.137.9,ba7f684217be69ffe3cb09c70e02f204c6624894253dad654685
2023-12-03 17:20:44,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a0078a464b516443cb783101fc9a9ab5cc2c8b7
2023-12-03 17:21:24,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a014c1818eb45b18e2769a4ef29a2cd60b5e81b
2023-12-03 17:22:05,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a0202e1dc84ec78012dd4dba483659a23bfe174
2023-12-03 17:22:38,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a03e9f10e71aff715901f84f3ca790db9281e2a148ecdd41b20e3bc6b044a5af8faff5f0318e174694ae7d4fb6c86becb1b03a6725161cca908c87750512f0dd013f9f0786b25d9482bf996452e442df780b83b4e32bc695cb1a212c9e6e0f6cc67d1ea1651f25b3d921a73dafbecaeb48f8f9b8ea93d91dd4e6d2023968c422278756d3e8f9442ff54f87d51d2e4
2023-12-03 17:23:19,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a049e81de95500686d3dfcfbb199602b8a04e82
2023-12-03 17:23:59,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a05391a29b9318265cb136f726ca7cc4275fc48
2023-12-03 17:24:39,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a061b843d2c377e02a8ec6ba8e3979b5c99791c
2023-12-03 17:25:19,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a07fa5e472afa64b79c2916582c6d31bbc00578
2023-12-03 17:25:59,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a08f0bf12bc7aa30d5a9579803175f91db3b5b8
2023-12-03 17:26:40,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a0954ec3da29a042196f1353ace6a586703264e
2023-12-03 17:27:20,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a0a71c65c1ee152d6c52d61781c5adb184f2bf9
2023-12-03 17:28:00,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a0b712e6dfbaab433358d5b348a536f9d72e18d
2023-12-03 08:28:40,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a0c408a44f1d8b0b774ac5ae5bd8bce99a7c088
2023-12-03 08:29:21,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a0d280d9b59a8bc1379dcc7142b12b8d038b551
2023-12-03 08:30:01,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a0e3844eae7670f5714d25887afee8c121ea1ae
2023-12-03 08:30:41,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a0f32edb12d35125f914859fc442be01143c1f6
2023-12-03 08:31:21,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a105b54501a532cd1498952308eb77982f75458
2023-12-03 17:32:01,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a1101ee2089a1dd151b05560088daca6c5c575a
2023-12-03 17:32:42,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a129c5bd2578b765ddeacbada1f99f3f9a46d76
2023-12-03 17:33:22,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a13c816b84d12dc964b355e76b8f2f809d98ae1
2023-12-03 17:34:02,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a1486f16fffdfe1fac6f2fdaf27422a011ee1aa
2023-12-03 17:34:42,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a1541aed357c4ae3ff60acbd6f0952213ce5833
2023-12-03 17:35:22,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a165f471121a37ff3b120f6859ec200f8751379
2023-12-03 17:36:03,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a171f711eb575ec43a63991173890c1a8812de3
2023-12-03 17:36:43,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a18566b0713ec080c594b2170c02e7b6ce89bc1
2023-12-03 17:37:23,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a19a5421144af07bc809631685229a70dbbb4a8
2023-12-03 17:38:03,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a1adc929c5e3ab1d8a302085d830ffa0c9a0ba4
2023-12-03 17:38:44,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a1b23d34d7353204878092237d11356479c3b19
2023-12-03 17:39:23,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a1c320977232fa164a3da92d1236b6e0a3f25f8
2023-12-03 17:40:04,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a1d186fdecb11a99d6f792396fcfdf28b03bc3d
2023-12-03 17:40:44,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a1e77c326b7baab4e82afb2fcc7c0bb669b668a
2023-12-03 17:41:24,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a1fdedeca5c68219a772c6c89c2cc58052200e9
2023-12-03 17:42:04,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a20d90864b07b028f675d428115656eae2740a9
2023-12-03 17:42:44,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a21987388a04fd103fd330f6e07ee6d149be669
2023-12-03 17:43:25,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a228ffb72b28597a9c74b9839587eb798fc6f1b
2023-12-03 17:44:06,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a235159cc5941086336d61bd20af9c29ca1a3b2
2023-12-03 17:48:47,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a2a4b3577634f4cfd047d5c8a1f273cdcdd0dd9
2023-12-03 17:49:21,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a2b8050018a9af5dd1e6224caa626cc6d4188d2707baaca4b6f7a49ceb2c1697c8c03f033543be392bd6ee10d5028202b5d62e723355676e784a43c5e88cfd19a4697da9cd41d415e094c3b0cbc5e8fb35e118167c1a05bce7a044e8c2324fe8c28bdcccbb0aaeb2def273f631c0472292e0e84bc6d85153bb649e3981a4b8dc360c6131a54ef8f56afa264a2a8
2023-12-03 17:50:01,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a2c964a5cc03a4c730f2226dac1c483c3cadc26
2023-12-03 17:50:41,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a2dad7bae9e073a05e8ffb7eb7376abb23a3fb0
2023-12-03 17:51:22,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a2efb2d65969d8dff1a39211f4e0737825c9ea9
2023-12-03 17:52:03,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a2f2bf099444f3359964619cad0338f3eafad76
2023-12-03 17:52:43,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a303c2bb2322a34cba10950a269cc56d817103a
2023-12-03 17:53:23,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a3153ee34e7450355c607c7b52a128a6219ff77
